label_name,mask_count_2d,percentage_of_2d_masks
pillow,478,14.835505896958411
lamp,252,7.82122905027933
chair,244,7.572936064556176
cup,241,7.479826194909994
picture frame,222,6.890130353817504
door,190,5.896958410924891
floor,180,5.58659217877095
ceiling,161,4.996896337678461
bed,146,4.531346989447548
rug,123,3.817504655493482
desk,123,3.817504655493482
sofa,117,3.631284916201117
mirror,105,3.258845437616387
plant,93,2.8864059590316575
window,88,2.7312228429546863
wall,87,2.7001862197392925
shelf cabinet bookshelf,79,2.451893234016139
table desk,76,2.3587833643699567
monitor television,43,1.3345747982619491
curtain,43,1.3345747982619491
sofa bed,26,0.8069522036002483
sink,20,0.6207324643078833
chair sofa,11,0.3414028553693358
window curtain,7,0.21725636250775915
window picture frame,7,0.21725636250775915
window mirror,6,0.186219739292365
floor rug,5,0.15518311607697083
shelf cabinet wardrobe bookshelf,5,0.15518311607697083
wardrobe,4,0.12414649286157665
door wardrobe,3,0.0931098696461825
fireplace,3,0.0931098696461825
laptop,3,0.0931098696461825
curtain wardrobe,3,0.0931098696461825
monitor mirror television,2,0.06207324643078833
shelf cabinethelf,2,0.06207324643078833
shelf cabinet,2,0.06207324643078833
cup lamp,2,0.06207324643078833
chair sofa rug,2,0.06207324643078833
monitor mirror,1,0.031036623215394164
window mirror frame,1,0.031036623215394164
shelf cabinet bookshel,1,0.031036623215394164
mirror fireplace,1,0.031036623215394164
bed rug,1,0.031036623215394164
chair bed,1,0.031036623215394164
chair rug pillow,1,0.031036623215394164
sofahelf,1,0.031036623215394164
window frame,1,0.031036623215394164
chair rug,1,0.031036623215394164
monitor window picture frame,1,0.031036623215394164
chair desk,1,0.031036623215394164
monitor,1,0.031036623215394164
bookshelf,1,0.031036623215394164
chair table desk,1,0.031036623215394164
wall curtain,1,0.031036623215394164
shelf cabinet wardrobehel,1,0.031036623215394164
wardrobe bookshel,1,0.031036623215394164
