label_name,mask_count_2d,percentage_of_2d_masks
pillow,479,14.861929878994726
lamp,253,7.849829351535837
chair,244,7.570586410176854
cup,242,7.508532423208191
picture frame,234,7.26031647533354
door,192,5.957182748991623
floor,180,5.584858827179646
ceiling,162,5.026372944461682
bed,143,4.436860068259386
desk,123,3.8163201985727584
rug,122,3.785293205088427
sofa,115,3.5681042506981075
mirror,100,3.102699348433137
plant,93,2.885510394042817
window,87,2.699348433136829
wall,85,2.637294446168166
shelf cabinet bookshelf,81,2.513186472230841
table desk,75,2.3270245113248524
monitor television,43,1.3341607198262488
curtain,43,1.3341607198262488
sofa bed,27,0.8377288240769469
sink,20,0.6205398696866273
chair sofa,10,0.31026993484331367
window picture frame,7,0.21718895439031957
window mirror,6,0.18616196090598822
wardrobe,6,0.18616196090598822
window curtain,5,0.15513496742165683
floor rug,5,0.15513496742165683
shelf cabinet wardrobe bookshelf,5,0.15513496742165683
door wardrobe,4,0.12410797393732548
laptop,3,0.09308098045299411
curtain wardrobe,3,0.09308098045299411
monitor mirror television,2,0.06205398696866274
fireplace,2,0.06205398696866274
shelf cabinet,2,0.06205398696866274
cup lamp,2,0.06205398696866274
chair sofa rug,2,0.06205398696866274
monitor mirror,1,0.03102699348433137
mirror fireplace,1,0.03102699348433137
bed rug,1,0.03102699348433137
chair bed,1,0.03102699348433137
chair rug pillow,1,0.03102699348433137
sofa bookshelf,1,0.03102699348433137
window picture,1,0.03102699348433137
chair rug,1,0.03102699348433137
monitor window picture frame,1,0.03102699348433137
chair desk,1,0.03102699348433137
monitor,1,0.03102699348433137
bookshelf,1,0.03102699348433137
chair table desk,1,0.03102699348433137
wall curtain,1,0.03102699348433137
shelf cabinet wardrobe books,1,0.03102699348433137
wardrobe bookshel,1,0.03102699348433137
