label_id,label_name,gaussian_count,percentage_of_total,percentage_of_labelled
0,unlabelled,303191,62.55139702954568,
5,ceiling,56921,11.743383115985534,31.358668106392823
6,sofa,24860,5.12887166886387,13.695762357037395
8,door,21290,4.392344240953813,11.728993587342163
10,floor,17869,3.6865570334243163,9.84431124528967
20,picture frame,9455,1.950662977840221,5.20890720377267
2,plant,8811,1.8177992065309558,4.854117543357059
3,chair,8392,1.7313552310983749,4.623283897838207
17,mirror,7549,1.557435729213731,4.1588620286916855
13,bed,6304,1.300579525362745,3.472972079596289
4,shelf,3525,0.7272434687347201,1.9419775667158818
18,television,3493,0.7206415422100362,1.924348266819454
21,wall,3408,0.7031051748788444,1.8775204389695674
1,rug,3187,0.6575106198177456,1.7557680865598624
15,window,2455,0.5064915505655995,1.352497851429075
12,desk,1499,0.3092589956406654,0.8258225170232927
11,pillow,1057,0.21806988551846787,0.5823178122038829
7,lamp,512,0.10563082439494376,0.2820687983428458
26,table,480,0.09902889787025977,0.26443949844641795
9,cup,297,0.06127413055722323,0.1636219396637211
28,fireplace,130,0.026820326506528686,0.07161903082923819
19,sink,18,0.003713583670134741,0.009916481191740673
29,curtain,4,0.0008252408155854981,0.002203662487053483
