area,metric,value,unit,interpretation,value_for_report
Visual reconstruction,Held-out frames evaluated,15,frames,All held-out test frames were evaluated successfully.,15
Visual reconstruction,PSNR,28.832300788747677,dB,Good image reconstruction quality on unseen frames.,28.832300788747677
Visual reconstruction,SSIM,0.9011347730954488,score,High structural similarity between render and ground truth.,0.90113477309544876
Visual reconstruction,LPIPS,0.05892428581913312,score,Low perceptual difference; lower is better.,0.058924285819133122
3D Gaussian reconstruction,Raw Gaussian count,484460,Gaussians,Dense enough for a detailed indoor room-scale reconstruction.,484460
3D Gaussian reconstruction,Semantic Gaussian count,484460,Gaussians,Semantic PLY preserved the full Gaussian cloud.,484460
3D Gaussian reconstruction,Pruned viewer Gaussian count,380995,Gaussians,Viewer version is smaller and cleaner.,380995
3D Gaussian reconstruction,Gaussians removed by pruning,103465,Gaussians,Pruning removed low-quality or viewer-unfriendly Gaussians.,103465
3D Gaussian reconstruction,Pruning percentage,21.35676836064897,%,Pruning significantly reduced viewer file complexity.,21.356768360648971
3D Gaussian reconstruction,Raw low-opacity Gaussian percentage,20.564133261775996,%,Raw PLY contains low-opacity floaters.,20.564133261775996
3D Gaussian reconstruction,Pruned low-opacity Gaussian percentage,0.0,%,Pruned viewer PLY removes low-opacity floaters.,0
3D Gaussian reconstruction,Raw maximum scale,0.6501089751302718,normalised scene units,Large scale outliers exist in the raw PLY.,0.65010897513027177
3D Gaussian reconstruction,Pruned maximum scale,0.09839102439521698,normalised scene units,Pruning strongly reduces maximum Gaussian scale.,0.098391024395216978
3D semantic output,Labelled Gaussians,186794,Gaussians,Meaningful subset of the 3D scene received semantic labels.,186794
3D semantic output,Unlabelled Gaussians,297666,Gaussians,Unlabelled regions remain a limitation.,297666
3D semantic output,Labelled percentage,38.557156421582796,%,Moderate-to-good semantic coverage for automatic 2D-to-3D lifting.,38.557156421582796
3D semantic output,Unlabelled percentage,61.442843578417204,%,Shows remaining opportunity for improved lifting and label coverage.,61.442843578417204
3D semantic output,Unique 3D labels excluding unlabelled,22,labels,Scene contains multiple useful object and structure categories.,22
3D semantic output,Structural coverage,21.68889072369236,% of total Gaussians,"Floor, ceiling, door, wall and window labels contribute strongly.",21.68889072369236
3D semantic output,Furniture/object coverage,16.848862651199273,% of total Gaussians,Furniture and objects are represented in the semantic output.,16.848862651199273
3D semantic output,2D label retention in 3D,35.84905660377358,%,Underestimates true retention slightly due compound label canonicalisation.,35.849056603773583
2D mask quality,Frames with masks,150,frames,Segmentation was active across the full video.,150
2D mask quality,Total mask frames,150,frames,All processed frames were included in the mask manifest.,150
2D mask quality,Total 2D masks,3223,masks,Large number of object/region masks generated.,3223
2D mask quality,Average masks per frame,21.486666666666668,masks/frame,Healthy segmentation density.,21.486666666666668
2D mask quality,Median masks per frame,22.0,masks/frame,Mask generation was consistent across frames.,22
2D mask quality,Mean mask confidence,0.4672611299561226,score,Moderate open-vocabulary detection confidence.,0.46726112995612262
2D mask quality,Median mask confidence,0.42827460169792175,score,Moderate detection confidence across masks.,0.42827460169792175
2D mask quality,Small mask percentage,22.83586720446789,%,"Some small masks may be noisy, but many are valid small objects.",22.835867204467888
2D mask quality,Large mask percentage,0.03102699348433137,%,Very low over-dominant mask rate.,0.031026993484331369
2D mask quality,Largest 2D label,pillow,label,Most frequent detected label.,pillow
2D mask quality,Largest 2D label share,14.861929878994726,%,No single label fully dominates the segmentation.,14.861929878994726
Storage/output size,Raw PLY size,114.58169078826904,MB,Main full-resolution Gaussian output.,114.58169078826904
Storage/output size,Semantic PLY size,116.89188003540039,MB,Slightly larger due semantic fields.,116.89188003540039
Storage/output size,Pruned viewer PLY size,90.11105632781982,MB,Cleaner and lighter viewer-ready output.,90.111056327819824
