category,metric,value,unit
Dataset,Total processed frames,150.0,frames
Dataset,Training frames,135.0,frames
Dataset,Held-out test frames requested,15.0,frames
Dataset,Held-out test frames evaluated,15.0,frames
Visual reconstruction,PSNR,28.832300788747677,dB
Visual reconstruction,SSIM,0.9011347730954488,score
Visual reconstruction,LPIPS,0.05892428581913312,score
Visual reconstruction,Saved comparison images,10.0,images
Gaussian reconstruction,Raw Gaussian count,484460.0,Gaussians
Gaussian reconstruction,Semantic Gaussian count,484460.0,Gaussians
Gaussian reconstruction,Pruned viewer Gaussian count,380995.0,Gaussians
Gaussian reconstruction,Gaussians per training frame,3588.5925925925926,Gaussians/frame
Gaussian reconstruction,Gaussians per processed frame,3229.733333333333,Gaussians/frame
Semantic output,Labelled Gaussians,186794.0,Gaussians
Semantic output,Labelled percentage,38.557156421582796,%
Semantic output,Unlabelled percentage,61.442843578417204,%
Semantic output,Labelled Gaussians per frame,1245.2933333333333,Gaussians/frame
2D masks,Total 2D masks,3223.0,masks
2D masks,Average masks per frame,21.486666666666668,masks/frame
2D masks,Saved mask PNG files,3223.0,files
Storage,Raw PLY size,114.58169078826904,MB
Storage,Semantic PLY size,116.89188003540039,MB
Storage,Pruned viewer PLY size,90.11105632781982,MB
Storage,Latest checkpoint size,109.03888034820557,MB
Storage,Frames directory size,30.544921875,MB
Storage,Masks directory size,4.483529090881348,MB
Storage,Test comparisons directory size,3.909107208251953,MB
Storage,Raw PLY MB per 100k Gaussians,23.65142442890415,MB/100k Gaussians
Pruning,Gaussians removed by pruning,103465.0,Gaussians
Pruning,Gaussian reduction by pruning,21.35676836064897,%
Pruning,File size reduction by pruning,24.47063446044922,MB
Pruning,File size reduction percentage,21.35649621863892,%
